,PRISM.7122,PRISM.7147,PRISM.7150,PRISM.7153,PRISM.7184,PRISM.7238,PRISM.7406,PRISM.7408,PRISM.7421,PRISM.7445,PRISM.7486,PRISM.7496,PRISM.7506,PRISM.7547,PRISM.7658,PRISM.7662,PRISM.7744,PRISM.7759,PRISM.7762,PRISM.7776,PRISM.7791,PRISM.7843,PRISM.7847,PRISM.7852,PRISM.7855,PRISM.7858,PRISM.7860,PRISM.7861,PRISM.7862,PRISM.7870,PRISM.7874,PRISM.7875,PRISM.7879,PRISM.7897,PRISM.7899,PRISM.7904,PRISM.7906,PRISM.7908,PRISM.7909,PRISM.7910,PRISM.7911,PRISM.7912,PRISM.7938,PRISM.7941,PRISM.7947,PRISM.7948,PRISM.7955,PRISM.7971,PRISM.7989,PRISM.8095,PRISM.8096,PRISM.8101,PRISM.8106,PRISM.8129,PRISM.8226,PRISM.8244,PRISM.8264,PRISM.8275,PRISM.8283,PRISM.8332,PRISM.8336,PRISM.8361,PRISM.8374,PRISM.8377,PRISM.8406,PRISM.8441,PRISM.8444,PRISM.8447,PRISM.8452,PRISM.8458,PRISM.8462,PRISM.8464,PRISM.8466,PRISM.8467,PRISM.8475,PRISM.8480,PRISM.8483,PRISM.8485,PRISM.8496,PRISM.8502,PRISM.8503,PRISM.8511,PRISM.8513,PRISM.8515,PRISM.8523,PRISM.8534,PRISM.8537,PRISM.8550,PRISM.8564,PRISM.8565,PRISM.8573,PRISM.8577,PRISM.8589,PRISM.8591,PRISM.8592,PRISM.8605,PRISM.8624,PRISM.8628,PRISM.8629,PRISM.8667,PRISM.8675,PRISM.8683,PRISM.8692,PRISM.8696,PRISM.8728,PRISM.8734,PRISM.8735,PRISM.8746,PRISM.8749,PRISM.8753,PRISM.8754,PRISM.8758,PRISM.8764,PRISM.8765,PRISM.8774,PRISM.8776,PRISM.8778,PRISM.8783,PRISM.8784,PRISM.8785,PRISM.8788,PRISM.8789,PRISM.8794,PRISM.8795,PRISM.8800,PRISM.8802,PRISM.8803,PRISM.8805,PRISM.8806,PRISM.8807,PRISM.8809,PRISM.8815,PRISM.8841,PRISM.8843,PRISM.8844,PRISM.8846,PRISM.8847,PRISM.8849,PRISM.8878,PRISM.8882,PRISM.8892,PRISM.8894,PRISM.8898,PRISM.8924,PRISM.8932,PRISM.8982,PRISM.8998,PRISM.9010,PRISM.9018,PRISM.9030,PRISM.9033,PRISM.9074,PRISM.9079,PRISM.9126,PRISM.9148
4-hydroxystyrene,603.603,345.589,32.4742,185.238,801.631,0.0,0.0,532.358,1767.87,0.0,1176.73,0.0,0.0,25.9046,2211.46,48.9818,306.247,1511.0,1421.58,38.6447,349.841,52.2929,151.741,538.659,18.2849,317.372,1908.85,16.4705,27.9442,68.5789,32.0888,19.8462,0.0,746.444,42.8755,1069.47,1391.55,905.257,26.5629,18.2664,1315.48,37.1544,0.0,409.575,0.0,236.535,442.006,0.0,0.0,0.0,301.301,2473.66,0.0,635.344,0.0,0.0,0.0,308.846,0.0,0.0,0.0,255.724,1618.1,0.0,1487.45,0.0,0.0,0.0,0.0,500.174,3064.37,918.432,286.16,2062.41,1984.06,264.033,455.865,442.127,342.015,0.0,0.0,1062.68,0.0,613.01,195.832,0.0,507.067,18.1951,859.188,0.0,1151.3,0.0,33.1672,4.07533,1413.23,28.2307,957.736,37.489,0.0,1347.19,351.853,141.79,0.0,352.274,0.0,130.351,148.523,0.0,0.0,228.188,26.5657,0.0,0.0,14.5081,9.9657,53.2049,0.0,107.729,570.263,10.6491,0.0,24.6307,775.76,435.017,563.419,0.0,166.96,0.0,0.0,0.0,0.0,0.0,27.7454,78.2411,0.0,182.225,0.0,0.0,550.165,1215.84,209.86,0.0,408.091,178.357,0.0,0.0,474.87,21.8715,22.8585,2049.72,0.0,0.0,2860.94,156.995,36.8432
p-hydroxyphenylacetate,70.2521,18.3243,73.1743,0.0,0.0,46.5213,0.0,142.781,147.105,253.882,562.644,48.0573,19.8324,15.0686,136.45,37.3038,43.5131,164.459,400.156,156.867,13.1313,3029.77,142.796,362.632,25.5816,73.7794,72.5932,41.7594,48.868,55.6976,53.609,0.0,23.0886,129.121,112.465,40.1692,31.5396,0.0,32.3274,132.352,115.567,67.0646,786.712,20.1984,1339.96,151.027,21.5616,1340.52,258.45,965.27,116.41,37.761,568.296,153.623,162.296,0.0,0.0,1379.9,0.0,0.0,107.607,0.0,31.2933,17.113,50.5812,20.1701,56.0371,27.8083,75.0294,0.0,151.226,189.568,31.593,249.655,130.656,0.0,80.8211,1235.71,836.505,51.8001,0.0,19.1824,83.5897,905.61,85.9702,0.0,825.638,1614.37,2141.52,95.8195,81.5116,17.5818,33.8823,792.247,51.7086,461.138,96.1534,29.4066,78.0714,1746.79,3082.14,0.0,0.0,0.0,0.0,34.9486,0.0,0.0,100.237,747.362,0.0,0.0,599.055,0.0,0.0,192.173,0.0,0.0,0.0,0.0,18.8206,0.0,134.168,15.0929,85.3294,0.0,126.914,51.4283,648.72,665.089,61.137,970.455,0.0,20.069,49.5032,170.19,265.664,0.0,22.128,26.0209,56.0331,0.0,149.271,0.0,810.226,150.814,1253.68,26.1767,0.0,40.2974,104.474,112.827,278.081,107.662,37.1024
acesulfame,254.973,857.009,0.0,359.5997,1331.072,0.0,64.2741,90.0434,891.564,1672.292,0.0,194.3045,0.0,60.7255,544.949,599.372,39.92545,6908.09,967.956,9798.69,255.824,5336.24,8893.13,0.0,0.0,98.1643,0.0,0.0,381.955,1229.58,562.783,0.0,20.9354,1289.565,185.2201,0.0,377.975,78.1567,0.0,0.0,0.0,1357.752,0.0,66.3111,190.4712,5868.88,0.0,2041.829,945.655,236.8087,0.0,4245.19,754.6,0.0,223.8079,0.0,51028.8,7845.64,0.0,0.0,0.0,4.08194,339.703,0.0,0.0,290.509,0.0,23.2741,0.0,410.689,0.0,0.0,0.0,0.0,0.0,0.0,9692.79,217.0132,0.0,0.0,0.0,0.0,174.0713,0.0,9806.58,16718.19,10128.11,0.0,137.6828,4.95387,0.0,0.0,0.0,0.0,2217.998,971.795,1010.978,0.0,0.0,590.641,358.2359,0.0,49.406,0.0,0.0,142.8702,0.0,15.7702,270.615,0.0,1197.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.4141,0.0,0.0,826.108,568.36,58.8216,1443.105,330.109,0.0,2589.973,0.0,7158.94,0.0,407.0102,11320.02,6929.05,0.0,0.0,0.0,0.0,245.9888,5899.6,12565.02,0.0,884.629,0.0,67.2222,0.0,4272.02,694.302,0.0,0.0,0.0,0.0,0.0,0.0,31402.2
phenyllactate,12571.7,7455.51,576.981,3786.68,16835.2,0.0,0.0,11054.8,33334.1,20.7759,24343.1,59.8011,140.803,521.237,43162.4,1023.25,6267.55,31800.5,29283.6,749.602,7458.02,1081.62,3438.34,11406.7,287.704,6896.02,34872.0,394.144,528.295,1284.93,627.451,266.25,78.6168,14037.7,855.597,22127.3,26844.8,18389.9,548.473,293.547,26425.6,790.861,25.1806,8541.49,0.0,4762.47,9000.6,0.0,8.95072,3.66189,6726.19,49617.4,0.338775,13303.0,8.4765,103.791,15.108,5929.06,120.205,78.5605,8.35391,5403.56,32928.7,50.5601,32007.2,137.48,77.4129,4.80672,19.2609,9979.62,60850.7,17681.0,6202.97,41949.0,38527.3,8555.43,9218.83,9719.87,6810.23,6.95844,136.663,22100.2,35.8118,12560.2,4087.29,18.7419,10371.8,351.08,16580.3,0.0,23115.5,126.216,664.48,32.9939,26251.9,349.064,18902.2,862.253,0.0,28780.7,8088.85,2858.96,148.53,7300.5,66.4266,2943.84,3036.32,0.0,21.797,4861.18,618.664,21.3213,150.52,322.332,175.554,1091.19,58.5211,2313.17,11993.7,210.53,211.948,606.142,17400.9,8564.24,11519.7,104.269,3148.19,0.0,18.0676,1.0549,0.0,0.0,0.0,1553.83,4.32029,4051.38,42.9422,39.2193,11277.1,22993.4,4224.75,65.8967,8943.66,3733.94,7.05378,205.569,9189.23,445.227,468.202,41736.2,84.0886,0.0,56390.6,3329.78,782.846
sebacate,608.6146,170.9345,1666.24,90.3096,305.8714,16.74124,48.08513,221.0489,536.7066,104.3007,106.5723,529.3321,207.5003,130.8505,486.6674,2301.515,985.244,188.6934,118.2441,91.3467,791.6734,123.1249,1418.23,538.423,2472.279,436.726,933.683,4446.623,972.753,914.406,2005.346,97.00536,8190.22,887.04,1737.195,1855.74,390.129,289.928,3394.057,1455.112,891.7348,1564.599,963.233,407.8,120.2435,3220.489,2564.576,232.244,59.99908,214.5521,151.5757,644.989,284.2194,184.8458,76.50583,961.171,31.87661,152.5788,158.3802,1494.324,49.46997,410.0497,129.515,486.0275,470.266,2219.415,2893.873,390.12,1777.6207,635.9924,372.2334,300.8795,354.2086,676.3658,716.5045,6.77017,185.9441,244.5317,324.3539,33.45137,4713.32,369.339,2879.558,805.072,167.4671,19.4883,66.2156,114.6312,171.3049,40.1693,339.7079,1342.921,1924.663,178.4508,217.2113,42.97627,1712.118,1041.986,80.11474,224.7288,1294.394,73.08547,626.407,280.4095,2944.78,566.6877,151.8852,53.54784,68.10971,224.0227,1714.735,23.2662,358.359,1859.842,487.916,155.7642,653.216,347.1598,480.1389,1522.163,482.518,1867.071,367.051,657.4302,793.62,1220.449,154.7302,53.00179,48.03195,183.038,42.58096,62.2206,42.7718,52.54685,23.9241,5599.587,499.1471,164.1364,130.289,761.8629,95.2183,3147.722,201.8517,3566.345,82.9996,818.311,117.88355,10111.512,108.735,100.1205,176.1425,132.244,241.6032,208.839,646.8651
undecanedionate,203.581,167.526,737.486,84.4193,274.743,9.06466,0.0,89.2059,349.51,80.2691,58.1033,498.067,302.621,81.1163,273.195,661.914,281.029,203.395,89.9327,35.2824,442.49,120.058,527.617,281.268,1464.89,257.706,617.69,1501.83,746.974,486.443,475.818,58.0269,2026.53,318.073,613.731,675.529,207.145,194.498,873.807,1879.68,304.265,601.766,238.263,132.51,42.8383,69.2913,707.422,125.372,33.7498,93.8346,57.3427,764.662,114.597,140.886,93.4924,587.333,13.4008,112.485,79.3319,644.389,23.6276,174.072,99.0657,205.034,199.25,816.109,613.278,193.268,54.6917,250.308,139.73,66.6532,137.877,560.375,485.988,297.748,100.111,154.765,254.517,0.0,1496.8,228.443,1025.8,482.635,100.272,0.0,45.7284,44.4567,121.688,18.7916,134.692,705.499,513.179,73.7168,136.836,36.7158,233.004,164.516,0.0,164.446,44.2253,53.4892,244.587,138.843,886.61,171.79,92.6509,48.5027,35.1465,136.032,614.364,0.0,246.736,709.93,452.303,135.11,196.348,68.5381,506.075,509.326,340.239,663.301,379.345,354.786,370.463,741.219,115.849,31.5709,43.8842,84.7431,0.0,23.9648,34.7462,29.3588,0.0,89.4761,255.868,84.9491,64.4211,108.528,47.5025,1243.47,86.0588,1267.96,44.0704,168.768,74.6924,585.366,44.0269,98.5796,38.9722,46.0999,270.303,86.3367,269.471
acetytyrosine,32.4396,12.8977,0.0,0.0,32.448,349.777,0.0,49.168,34.7299,640.061,300.3,62.0662,0.0,17.1514,28.0208,127.958,38.2657,49.2251,26.7142,45.4408,48.2376,450.063,177.639,43.474,140.507,51.5455,95.2103,76.8605,99.8776,436.537,181.236,138.047,114.687,118.936,91.2545,111.48,36.7307,0.0,228.098,124.076,58.4897,142.402,442.968,36.5991,15.4104,431.136,156.395,93.671,35.1377,21.7698,103.89,67.556,101.892,364.307,23.2065,33.7856,0.0,150.216,47.5574,26.2702,44.4588,80.8133,684.714,113.014,15.552,289.257,187.7,47.3249,27.9536,93.6819,31.3538,128.753,33.889,157.889,229.819,113.057,28.3106,226.594,34.8732,55.5632,201.37,194.769,301.543,19.9768,205.318,27.0742,375.641,110.656,14.6877,69.4052,73.0117,118.765,257.275,44.1553,11.5995,520.625,52.0706,70.7131,0.0,61.6378,57.6667,51.6631,30.9405,0.0,48.5827,14.471,0.0,0.0,34.9622,15.0079,19.388,43.6097,80.9372,26.1308,38.6666,692.378,38.7056,11.7595,13.6546,20.7606,0.0,57.1382,22.165,14.7791,44.0773,76.659,0.0,160.237,24.9383,134.447,44.0794,36.5256,75.1684,15.1012,38.0127,17.8599,0.0,36.7052,22.1646,40.7149,190.37,70.9954,20.7814,16.856,95.2184,21.2505,86.0599,30.2734,34.3358,0.0,0.0,42.2355,37.2187,0.0,66.9816
myristic acid,90.7895,38.2314,67.5632,414.545,52.7557,83.6998,87.1946,22.8744,15.0712,35.2854,22.6705,30.7474,65.3963,21.4595,36.9947,35.5479,39.765,22.6862,216.917,16.0875,29.696,212.942,52.4721,43.7809,314.791,42.2617,28.6132,35.869,28.6644,23.0548,71.2201,21.6767,76.7142,40.2911,35.1657,34.3442,39.422,19.2857,41.4752,28.5629,20.801,48.8888,44.8968,19.2777,284.717,121.548,61.1846,42.6316,107.416,27.4486,29.851,73.7232,21.7477,33.6259,394.761,225.996,56.2118,24.1345,247.206,451.176,121.763,15.7217,43.7857,30.1809,27.4556,15.2214,67.0807,58.0443,138.699,13.1571,91.5032,20.4315,37.0102,51.7121,133.044,0.0,21.8572,98.6311,14.8988,40.2521,94.8792,66.9571,78.1981,21.921,55.5349,438.761,57.2609,20.6307,14.6141,58.4188,47.555,124.205,36.9813,231.869,38.0156,46.3858,29.6578,726.642,53.9982,40.5658,15.1207,2170.08,209.049,280.808,99.5613,22.9092,287.316,78.2363,3036.17,132.77,62.9059,157.84,125.687,134.647,354.872,552.398,96.8118,150.404,119.991,194.96,25.6997,22.0918,41.6537,148.195,31.5346,99.6595,100.14,54.2785,56.1152,61.0213,77.6405,31.2968,28.4986,561.428,178.145,31.7591,36.3789,40.1732,288.472,39.136,22.7463,186.434,25.6385,1012.96,44.9985,216.967,52.4297,71.4692,1189.74,161.895,21.1671,164.045,0.0,106.685,84.2834
dodecanedioic acid,85.4941,68.2156,57.6006,29.4696,69.5616,14.5927,57.2965,35.5413,73.2462,27.6434,35.6173,88.5635,65.3271,34.6497,181.176,200.85,118.688,62.5094,73.5288,32.0646,151.744,58.0839,272.244,63.5677,1073.98,88.9652,260.354,1616.78,224.257,138.313,143.221,56.5316,5316.09,208.884,157.51,166.032,68.2279,77.9663,2834.17,38.2139,85.7479,235.547,34.839,34.0441,25.074,31.2084,135.688,49.7456,47.8074,27.8145,33.8993,795.134,29.6948,26.6596,79.645,324.481,22.4573,36.9627,54.7568,239.451,20.8387,55.2669,31.1023,88.3144,78.678,318.409,1991.37,62.4942,57.1583,92.5329,66.6248,46.7056,45.1942,141.179,250.223,257.01,45.7064,56.2648,47.6766,40.4262,3559.37,120.518,788.428,153.889,116.344,34.3806,30.8837,51.977,28.9481,32.0688,53.5928,224.79,129.862,47.7589,41.0559,36.1506,79.3733,165.695,48.0253,45.0075,30.4118,21.257,234.12,75.0659,1028.2,40.225,61.541,67.265,38.4426,68.1388,48.8455,35.8254,106.499,215.005,104.802,87.8218,454.659,89.5241,346.474,259.672,175.18,166.887,386.171,135.137,59.6585,3932.22,52.1152,41.9249,74.8106,37.5442,36.1836,29.6894,45.582,0.0,25.4081,66.6633,41.4363,45.4227,50.2144,112.487,29.1183,1315.75,46.3971,1284.66,50.3579,732.872,28.6581,338.189,68.6345,37.9424,16.3257,53.0853,83.4928,36.667,185.044
2-hydroxymyristic acid,505.271,209.747,511.882,269.578,142.497,19.4416,58.6616,363.353,55.2289,18.7469,15.9691,307.516,231.979,903.345,101.128,267.835,248.713,87.3344,18.8323,66.0991,432.737,23.8313,74.0903,164.155,413.929,327.812,167.974,458.972,180.887,73.2321,342.117,25.2412,205.419,31.4437,366.783,228.566,111.032,48.5215,320.354,116.046,126.79,122.523,29.5309,99.8717,478.778,53.4317,325.766,68.0603,80.9447,19.1955,25.2551,583.212,20.3814,23.4643,31.8854,367.591,17.3051,56.1184,910.335,2191.84,34.9428,27.5613,134.457,123.05,24.1257,170.716,167.374,183.922,77.8982,440.72,65.5099,28.7881,362.994,71.443,29.5602,154.2,45.7452,27.4062,216.595,23.7362,329.601,235.647,564.943,70.7657,99.7202,43.5643,31.7686,26.3251,17.5771,41.1419,50.9475,290.554,79.9291,34.0382,104.493,26.1502,231.357,142.861,95.5999,38.8269,16.6592,35.6521,336.778,59.5945,294.539,541.58,32.3687,635.506,59.1199,47.5009,387.212,43.7053,524.246,524.652,176.546,262.716,536.324,58.8622,724.121,209.239,330.482,293.68,58.8396,99.1293,34.9348,222.624,284.869,25.1884,32.882,25.7009,51.9883,35.3837,29.8509,98.3095,30.2213,23.9932,50.144,42.4662,44.0687,42.245,22.3087,626.534,27.0287,254.964,103.644,390.131,48.1387,360.116,33.8439,44.1897,207.646,297.726,245.344,305.73,46.8403
palmitoleic acid,111.672,105.316,25.4388,120.333,156.4,545.272,0.0,49.7691,34.1384,52.814,316.344,40.8009,161.515,49.415,27.4559,16.883,0.0,0.0,43.125,21.9966,69.4689,341.814,96.3901,65.9954,64.947,40.4245,68.6345,17.6576,30.3321,78.7898,44.7666,75.2499,37.311,82.7225,36.244,31.8675,978.483,70.0341,0.0,82.982,292.955,59.7782,44.3717,44.8644,127.778,199.438,29.8704,79.4966,0.0,193.933,39.9773,126.518,126.179,1551.03,290.06,96.3533,526.726,58.2919,22.3267,104.91,199.453,49.3564,315.209,170.359,34.8476,45.7884,28.5721,37.0946,44.4585,14.9564,531.052,0.0,85.1127,52.9352,100.298,0.0,50.2637,122.152,33.282,56.6505,20.7346,176.61,24.1909,34.9606,33.9423,231.403,52.2518,0.0,15.1722,72.8486,29.2883,89.814,52.2075,143.761,117.11,29.435,24.3298,0.0,28.0919,0.0,30.6609,1243.85,130.068,189.022,137.853,0.0,51.8629,72.9647,56.0806,259.117,23.1685,45.6949,328.045,1003.07,73.2523,411.967,169.795,63.3695,54.7876,266.39,0.0,30.7631,21.5943,109.551,46.2179,59.823,141.754,49.8212,229.385,25.2708,0.0,68.5608,0.0,174.673,132.717,40.6219,31.3904,85.8465,58.7549,0.0,27.5617,23.7505,51.4504,0.0,0.0,0.0,156.5,44.6059,0.0,79.6245,78.0441,0.0,0.0,0.0,58.8677
palmitic acid,3874.95,3593.28,1623.7,12529.5,2175.52,1758.2,506.447,1132.61,351.149,1359.78,1075.41,424.132,5813.66,924.898,1754.36,1022.88,446.323,293.001,1066.71,319.523,2027.29,2429.92,1562.49,397.238,9333.61,1045.1,384.05,555.468,1324.3,167.15,527.856,1466.52,905.959,950.542,800.004,226.794,4902.07,1007.88,234.205,580.773,1104.9,2084.26,819.913,1702.26,5700.08,628.395,859.229,928.634,543.715,1479.69,370.369,3180.89,350.835,1009.38,1983.08,8755.06,2931.05,1393.65,5124.58,4530.19,1369.41,195.959,404.157,1643.5,1683.0,691.611,973.417,1055.02,3580.43,509.667,1359.43,371.51,1291.49,880.23,1928.03,237.768,754.27,910.623,437.624,639.486,1869.51,724.292,1001.83,324.627,1187.99,9674.47,1283.57,795.26,188.746,1098.98,573.023,1861.91,839.066,1490.41,1325.2,599.623,762.843,3482.89,482.345,706.061,744.677,10784.6,8492.33,6384.37,5404.65,1898.4,6253.29,1304.65,9644.6,6660.03,6137.43,2417.66,8293.7,3722.2,9759.14,7218.53,4153.05,2379.71,7847.23,4315.2,1031.57,1358.83,1040.18,4373.71,2257.04,7533.48,8136.04,1061.34,2247.34,1985.17,1499.37,789.194,134.923,7940.59,3727.9,2641.21,1522.12,574.345,11806.6,612.995,652.159,6644.78,2162.41,4828.03,1467.0,7380.91,2163.09,2134.47,1012.24,4587.63,6813.22,1373.63,103.31,2678.13,971.861
tetradecanedioate,200.958,241.183,323.626,95.25,162.599,72.4836,446.093,157.929,88.3851,85.4319,138.245,167.76,211.255,122.633,208.661,172.513,112.825,229.836,97.9043,173.413,161.898,111.815,498.308,217.843,204.838,186.85,269.497,214.324,258.804,124.833,273.927,250.607,272.606,260.089,134.575,193.528,152.198,99.3449,202.524,148.799,138.45,359.387,239.672,127.194,147.678,63.5666,293.807,207.696,289.132,104.873,169.813,304.288,221.684,180.115,322.37,219.842,204.078,121.504,248.773,144.568,246.454,173.226,90.721,107.023,150.769,219.783,252.129,211.089,399.537,153.495,142.228,222.892,110.025,262.693,182.577,1630.43,119.697,165.037,110.376,305.762,346.194,191.838,317.33,162.095,567.832,207.311,135.223,113.341,21.4066,341.134,222.126,261.443,250.327,110.071,107.946,339.508,170.009,283.091,245.152,362.194,153.201,93.4668,159.097,347.115,308.445,220.204,297.882,497.097,225.354,133.806,177.652,170.457,287.544,202.062,184.286,195.888,190.519,152.399,167.215,145.248,229.675,180.833,292.523,160.986,149.171,232.258,186.943,153.118,235.957,196.428,553.477,296.332,267.003,138.082,295.173,64.5743,213.823,382.655,147.518,482.594,163.583,253.971,199.015,207.084,324.173,289.718,525.091,258.909,308.528,128.337,200.136,569.586,440.189,457.624,453.98
"1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid",63.0097,62.714,308.907,28.3744,50.5728,8.41296,0.0,66.047,24.8839,19.0402,27.2566,197.964,42.9366,26.284,124.372,56.5733,75.015,55.2298,29.5339,0.0,116.467,25.9269,207.604,38.1745,103.389,165.607,218.936,153.929,149.403,0.0,102.904,0.0,277.747,92.272,156.231,140.251,93.0417,97.8738,129.836,85.6131,40.8567,155.935,13.9859,17.024,21.5924,13.3245,90.3147,58.1956,0.0,20.0763,0.0,99.8396,0.0,19.0002,0.0,91.9574,0.0,47.858,78.3617,175.966,32.7725,31.8716,13.4262,9.80975,73.9552,73.3236,170.208,106.498,64.244,97.6011,19.2308,89.9991,51.7742,97.0359,114.013,0.0,14.1885,12.9684,19.0166,0.0,0.0,27.4695,0.0,0.0,0.0,0.0,22.1016,19.0649,52.27,0.0,45.3563,138.82,67.812,55.4971,20.8088,0.0,0.0,191.841,42.2241,240.424,40.4561,0.0,30.1931,60.6054,269.786,130.284,24.7556,0.0,80.3332,21.8356,58.4474,30.7882,105.744,115.717,65.8969,0.0,0.0,39.8839,104.755,38.973,37.2878,94.6129,51.3168,123.696,38.7091,0.0,78.1571,0.0,0.0,0.0,0.0,35.137,0.0,0.0,0.0,20.657,0.0,0.0,31.4336,0.0,83.284,216.099,23.4179,0.0,0.0,154.974,60.1987,254.336,32.4754,59.8809,35.4172,141.294,128.247,75.1501,0.0
2-hydroxyhexadecanoate,22302.4,14313.8,32732.9,18518.8,8320.5,282.857,729.921,25285.3,3150.6,678.141,224.689,13783.4,18990.9,24444.8,3936.23,5346.37,6497.18,7674.86,128.76,3034.15,19856.9,249.868,1241.93,9455.5,19726.6,12465.5,6103.72,8614.88,6746.51,2701.04,6832.54,657.348,1505.03,378.919,12591.4,3731.01,4250.49,1338.74,8327.96,3597.02,6563.78,5224.51,397.925,4273.28,22861.0,1414.36,9389.77,531.553,4021.83,833.859,457.574,30092.0,273.779,369.217,361.953,22864.4,326.671,1521.4,31401.4,39500.9,535.002,987.478,3682.99,2769.71,596.404,3733.99,3381.62,5275.52,1442.5,20553.3,1925.65,445.559,19977.2,1955.75,495.361,1751.64,1575.88,570.634,10184.4,625.421,4648.12,7238.89,6688.3,2630.04,5821.5,798.668,512.952,706.007,440.603,1310.48,1457.51,10384.2,2072.22,437.738,3237.66,758.139,8640.15,9350.16,1699.32,697.865,176.712,320.294,14095.6,1330.33,9549.98,48744.8,372.364,9385.47,2340.15,2975.95,29947.7,767.244,20222.3,9636.35,11542.0,13635.9,23320.2,2496.95,37256.8,12074.2,23385.9,18370.9,1160.0,11425.5,1859.97,22210.0,20449.6,299.448,1325.13,665.724,1464.31,859.698,448.255,4515.4,1272.73,948.15,2522.92,1534.59,1165.84,668.741,446.767,33486.9,1283.19,7921.14,13500.1,12445.2,458.224,18516.1,613.44,1605.47,15416.1,26604.8,20591.1,16082.4,570.361
alpha-linolenic acid,1119.99,537.849,1794.11,322.135,305.804,242.649,202.656,15.4604,557.688,513.069,3339.28,501.132,269.473,214.269,938.553,51525.4,39.4243,306.259,5735.54,181.179,508.908,503.927,490.217,326.938,38286.1,1741.28,452.549,246.276,482.829,1985.25,1406.06,135.067,3107.11,1391.33,419.352,261.583,2292.55,498.06,158.424,512.394,4855.64,582.844,170.151,1290.3,96.8903,344.44,425.118,783.356,584.149,755.868,76.998,657.894,255.833,1957.32,3665.43,808.164,3377.83,4892.77,1965.26,381.714,446.251,51.414,203.621,422.272,2411.3,4604.22,76.7066,23967.7,148.928,156.019,225.584,543.351,4483.87,1262.14,735.116,0.0,637.708,263.63,762.12,616.862,103.282,267.73,57.8338,1957.37,47.2639,145.397,2191.55,67.0044,76.8339,186.396,571.518,50.8844,2964.47,412.834,214.843,63.0686,6622.93,225.87,81.3782,122.326,434.315,4154.9,1587.17,614.256,236.7,17.2557,2067.74,1442.15,378.196,2027.4,129.114,0.0,607.299,10002.9,10456.3,414.637,161.083,464.092,560.357,3305.56,63.7526,402.591,3502.56,6826.69,53.8656,256.092,439.175,1424.8,2939.46,924.511,168.034,89.9607,17.3217,65.7269,241.836,429.831,45.9752,1054.16,76.5185,359.75,339.855,166.277,65.2237,1367.44,77.064,38.7991,1825.79,345.535,170.497,252.189,39.2409,58.8586,249.078,135.978,210.048
linoleic acid,7051.67,32288.5,7165.41,5086.04,33900.6,8312.41,3828.14,429.494,5847.39,12360.7,7629.06,6368.85,29102.0,11829.4,44957.8,31236.6,419.529,5107.07,55950.2,3991.23,24779.5,18252.1,28333.0,5668.16,17069.6,22608.7,10779.1,3156.23,66235.5,4776.24,3988.64,12361.7,12482.9,9839.92,25047.4,1790.37,93135.5,29609.4,521.034,33750.6,9655.47,13008.2,2208.15,46013.1,4290.18,9519.92,3791.26,24755.2,5014.99,3412.53,2572.57,7487.46,2673.3,5368.2,78762.2,5427.13,42054.3,29939.5,10289.1,38562.9,5232.31,1001.41,3905.59,47900.2,11728.5,27758.1,4648.01,10804.0,3240.68,1203.23,6536.78,3919.02,12532.7,15933.6,9553.76,2053.25,27874.2,5539.94,5302.18,7336.42,891.343,5915.25,29896.5,19003.8,3685.71,4061.84,1894.63,847.673,963.079,6127.45,7143.77,4374.67,27340.5,16724.0,21643.9,3682.71,27599.3,2011.48,2143.39,1716.84,11184.1,58984.4,86492.0,3062.06,16185.4,347.861,48723.7,10033.4,3247.99,9061.1,13437.7,129.154,36143.7,5602.08,60363.0,43090.1,3881.18,3559.73,12500.3,4020.29,9448.64,6244.2,3206.75,12370.2,1868.45,3166.51,29745.7,12078.6,4070.31,14099.7,1341.22,1523.25,1106.1,2822.2,4271.5,19695.3,1115.86,4401.36,5137.66,7453.15,4730.19,5079.64,3850.71,1902.24,256.509,1433.86,48080.9,952.086,3457.06,771.375,9445.57,1526.43,1961.63,3571.94,5081.29
